,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Senegal,Gales,Mexico,Dinamarca,,B2,Gales,,,,,
3,Ecuador,EEUU,Polonia,Australia,,,,,,,,
4,Qatar,Iran,Arabia Saudi,Tunez,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Alemania,Belgica,Brasil,Portugal,,E1,Alemania,Alemania,Brasil,,,
2,Espana,Croacia,Suiza,Uruguay,,F2,Croacia,,,,,
3,Japon,Marruecos,Serbia,Ghana,,,,,,,,
4,Costa Rica,Canada,Camerun,Korea,,G1,Brasil,Brasil,,,,
,,,,,,H2,Uruguay,,,,,
,NoobKiller69,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Francia,Francia,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Mexico,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Espana,Portugal,,,
,,,,,,E2,Espana,,,,,
,,,,,,,,,,,,
,,,,,,H1,Portugal,Portugal,,,,
,,,,,,G2,Suiza,,,,,
