,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Senegal,Gales,Polonia,Dinamarca,,B2,Gales,,,,,
3,Ecuador,EEUU,Mexico,Tunez,,,,,,,,
4,Qatar,Iran,Arabia Saudi,Australia,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Belgica,Brasil,Portugal,,E1,Espana,Espana,Brasil,,,
2,Alemania,Croacia,Serbia,Uruguay,,F2,Croacia,,,,,
3,Costa Rica,Marruecos,Suiza,Ghana,,,,,,,,
4,Japon,Canada,Camerun,Korea,,G1,Brasil,Brasil,,,,
,,,,,,H2,Uruguay,,,,,
,Alexander,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Francia,Francia,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Polonia,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Alemania,Alemania,,,
,,,,,,E2,Alemania,,,,,
,,,,,,,,,,,,
,,,,,,H1,Portugal,Portugal,,,,
,,,,,,G2,Serbia,,,,,
