,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Dinamarca,,A1,Holanda,Holanda,Argentina,Argentina,Argentina,Alemania
2,Senegal,EEUU,Polonia,Francia,,B2,EEUU,,,,,
3,Ecuador,Iran,Mexico,Australia,,,,,,,,
4,Qatar,Gales,Arabia Saudi,Tunez,,C1,Argentina,Argentina,,,,
,,,,,,D2,Francia,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Alemania,Belgica,Brasil,Uruguay,,E1,Alemania,Alemania,Alemania,,,
2,Espana,Croacia,Serbia,Portugal,,F2,Croacia,,,,,
3,Japon,Marruecos,Suiza,Korea,,,,,,,,
4,Costa Rica,Canada,Camerun,Ghana,,G1,Brasil,Brasil,,,,
,,,,,,H2,Portugal,,,,,
,Allen A.,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Dinamarca,Dinamarca,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Dinamarca,Dinamarca,,,,
,,,,,,C2,Polonia,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Espana,Uruguay,,,
,,,,,,E2,Espana,,,,,
,,,,,,,,,,,,
,,,,,,H1,Uruguay,Uruguay,,,,
,,,,,,G2,Serbia,,,,,
