,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Ecuador,EEUU,Mexico,Dinamarca,,B2,EEUU,,,,,
3,Senegal,Iran,Polonia,Australia,,,,,,,,
4,Qatar,Gales,Arabia Saudi,Tunez,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Belgica,Brasil,Portugal,,E1,Espana,Espana,Brasil,,,
2,Alemania ,Croacia,Suiza,Uruguay,,F2,Croacia,,,,,
3,Costa Rica ,Canada ,Serbia ,Ghana,,,,,,,,
4,Japon,Marruecos ,Camerun,Korea,,G1,Brasil,Brasil,,,,
,,,,,,H2,Uruguay,,,,,
,Cata,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Francia,Francia,,
,,,,,,A2,Ecuador,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Mexico,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Belgica,Belgica,,,
,,,,,,E2,Alemania ,,,,,
,,,,,,,,,,,,
,,,,,,H1,Portugal,Suiza,,,,
,,,,,,G2,Suiza,,,,,
