,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Senegal,EEUU,Mexico,Australia,,B2,EEUU,,,,,
3,Qatar,Iran,Arabia Saudi,Dinamarca,,,,,,,,
4,Ecuador,Gales,Polonia,Tunez,,C1,Argentina,Argentina,,,,
,,,,,,D2,Australia,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Alemania,Belgica,Brasil,Uruguay,,E1,Alemania,Alemania,Brasil,,,
2,Espana,Croacia,Suiza,Portugal,,F2,Croacia,,,,,
3,Japon,Canada,Serbia,Korea,,,,,,,,
4,Costa Rica,Marruecos,Camerun,Ghana,,G1,Brasil,Brasil,,,,
,,,,,,H2,Portugal,,,,,
,Hasan,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra ,Francia,Francia,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Mexico,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Belgica,Uruguay,,,
,,,,,,E2,Espana,,,,,
,,,,,,,,,,,,
,,,,,,H1,Uruguay,Uruguay,,,,
,,,,,,G2,Suiza,,,,,
