,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Senegal,EEUU,Mexico,Dinamarca,,B2,EEUU,,,,,
3,Ecuador,Gales,Polonia,Australia,,,,,,,,
4,Qatar,Iran,Arabia Saudi,Tunez,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Belgica,Brasil,Uruguay,,E1,Espana,Espana,Brasil,,,
2,Alemania,Croacia,Suiza,Portugal,,F2,Croacia,,,,,
3,Japon,Canada,Serbia,Ghana,,,,,,,,
4,Costa Rica,Marruecos,Camerun,Korea,,G1,Brasil,Brasil,,,,
,,,,,,H2,Portugal,,,,,
,Iván,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Francia,Francia,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Mexico,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Alemania,Uruguay,,,
,,,,,,E2,Alemania,,,,,
,,,,,,,,,,,,
,,,,,,H1,Uruguay,Uruguay,,,,
,,,,,,G2,Suiza,,,,,
