,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Senegal,EEUU,Mexico,Dinamarca,,B2,EEUU,,,,,
3,Qatar,Gales,Polonia,Tunez,,,,,,,,
4,Ecuador,Iran,Arabia Saudi,Australia,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Croacia,Brasil,Uruguay,,E1,Espana,Espana,Brasil,,,
2,Costa Rica,Belgica,Suiza,Portugal,,F2,Belgica,,,,,
3,Alemania,Canada,Serbia,Korea,,,,,,,,
4,Japon,Marruecos,Camerun,Ghana,,G1,Brasil,Brasil,,,,
,,,,,,H2,Portugal,,,,,
,Jacobo G,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Inglaterra,Inglaterra,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Mexico,,,,,
,,,,,,,,,,,,
,,,,,,F1,Croacia,Croacia,Croacia,,,
,,,,,,E2,Costa Rica,,,,,
,,,,,,,,,,,,
,,,,,,H1,Uruguay,Uruguay,,,,
,,,,,,G2,Suiza,,,,,
