,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Ecuador,EEUU,Polonia,Dinamarca,,B2,EEUU,,,,,
3,Senegal,Gales,Mexico,Tunez,,,,,,,,
4,Qatar,Iran,Arabia Saudi,Australia,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Belgica,Brasil,Uruguay,,E1,Espana,Espana,Brasil,,,
2,Alemania,Croacia,Suiza,Portugal,,F2,Croacia,,,,,
3,Japon,Marruecos,Serbia,Korea,,,,,,,,
4,Costa Rica,Canada,Camerun,Ghana,,G1,Brasil,Brasil,,,,
,,,,,,H2,Portugal,,,,,
,Kavi K,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Inglaterra,Alemania,,
,,,,,,A2,Ecuador,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Polonia,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Alemania,Alemania,,,
,,,,,,E2,Alemania,,,,,
,,,,,,,,,,,,
,,,,,,H1,Uruguay,Uruguay,,,,
,,,,,,G2,Suiza,,,,,
