,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Ecuador,EEUU,Arabia Saudi,Australia,,B2,EEUU,,,,,
3,Senegal,Iran,Mexico,Dinamarca,,,,,,,,
4,Qatar,Gales,Polonia,Tunez,,C1,Argentina,Argentina,,,,
,,,,,,D2,Australia,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Belgica,Brasil,Portugal,,E1,Espana,Espana,Brasil,,,
2,Alemania,Croacia,Serbia,Ghana,,F2,Canada,,,,,
3,Costa Rica,Marruecos,Suiza,Uruguay,,,,,,,,
4,Japon,Canada,Camerun,Korea,,G1,Brasil,Brasil,,,,
,,,,,,H2,Ghana,,,,,
,Luiza,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Francia,Francia,,
,,,,,,A2,Ecuador,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Arabia Saudi,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Belgica,Belgica,,,
,,,,,,E2,Alemania,,,,,
,,,,,,,,,,,,
,,,,,,H1,Portugal,Portugal,,,,
,,,,,,G2,Serbia,,,,,
