,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Senegal,Inglaterra,Argentina,Francia,,A1,Senegal,Senegal,Argentina,Brasil,Brasil,Argentina
2,Holanda,EEUU,Arabia Saudi,Dinamarca,,B2,EEUU,,,,,
3,Qatar,Gales,Polonia,Tunez,,,,,,,,
4,Ecuador,Iran,Mexico,Australia,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Belgica,Brasil,Uruguay,,E1,Espana,Canada,Brasil,,,
2,Alemania,Canada,Suiza,Portugal,,F2,Canada,,,,,
3,Costa Rica,Marruecos,Serbia,Ghana,,,,,,,,
4,Japon,Croacia,Camerun,Korea,,G1,Brasil,Brasil,,,,
,,,,,,H2,Portugal,,,,,
,Pablo B,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Francia,Alemania,,
,,,,,,A2,Holanda,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Arabia Saudi,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Alemania,Alemania,,,
,,,,,,E2,Alemania,,,,,
,,,,,,,,,,,,
,,,,,,H1,Uruguay,Uruguay,,,,
,,,,,,G2,Suiza,,,,,
