,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Dinamarca,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Ecuador,Iran,Mexico,Francia,,B2,Iran,,,,,
3,Qatar,EEUU,Polonia,Tunez,,,,,,,,
4,Senegal,Gales,Arabia Saudi,Australia,,C1,Argentina,Argentina,,,,
,,,,,,D2,Francia,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Alemania,Belgica,Brasil,Uruguay,,E1,Alemania,Alemania,Brasil,,,
2,Espana,Croacia,Suiza,Portugal,,F2,Croacia,,,,,
3,Costa Rica,Marruecos,Serbia,Korea,,,,,,,,
4,Japon,Canada,Camerun,Ghana,,G1,Brasil,Brasil,,,,
,,,,,,H2,Portugal,,,,,
,Pablo T,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Inglaterra,Espana,,
,,,,,,A2,Ecuador,,,,,
,,,,,,,,,,,,
,,,,,,D1,Dinamarca,Dinamarca,,,,
,,,,,,C2,Mexico,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Espana,Espana,,,
,,,,,,E2,Espana,,,,,
,,,,,,,,,,,,
,,,,,,H1,Uruguay,Uruguay,,,,
,,,,,,G2,Suiza,,,,,
