,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,Holanda,Argentina,Brasil,Brasil,Argentina
2,Senegal,EEUU,Polonia,Dinamarca,,B2,EEUU,,,,,
3,Qatar,Gales,Mexico,Tunez,,,,,,,,
4,Ecuador,Iran,Arabia Saudi,Australia,,C1,Argentina,Argentina,,,,
,,,,,,D2,Dinamarca,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Espana,Belgica,Brasil,Portugal,,E1,Espana,Croacia,Brasil,,,
2,Alemania,Croacia,Serbia,Uruguay,,F2,Croacia,,,,,
3,Costa Rica,Canada,Camerun,Korea,,,,,,,,
4,Japon,Marruecos,Suiza,Ghana,,G1,Brasil,Brasil,,,,
,,,,,,H2,Uruguay,,,,,
,Sofia G,,,,,,,,,,,
,,,,,,B1,Inglaterra,Inglaterra,Francia,Belgica,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,Francia,,,,
,,,,,,C2,Polonia,,,,,
,,,,,,,,,,,,
,,,,,,F1,Belgica,Belgica,Belgica,,,
,,,,,,E2,Alemania,,,,,
,,,,,,,,,,,,
,,,,,,H1,Portugal,Portugal,,,,
,,,,,,G2,Serbia,,,,,
